Date	TimeOfDay	Type	SubType	Distance	DistanceUnit	Duration	Weight	WeightUnit	RestHR	AvgHR	MaxHR	Sleep	Calories	Quality	Effort	Weather	Temperature	TempUnit	Notes	Course	CourseSurface	CourseNotes	ShoeMake	ShoeModel	Size	System	ShoeSerial	ShoePrice	OverallPlace	FieldSize	GroupMinAge	GroupMaxAge	GroupPlace	GroupSize	GenderPlace	GenderSize	
2006-09-03	10:00	Run	Race	13.10	Mile	1:35:26	66.0	kg												GSR Glasgow 1/2M	Asphalt		Unknown	No Log					671	7568						
2006-10-15		Run	Race	13.10	Mile	1:33:05	65.0	kg												Aviemore 1/2M	Asphalt,Track		Unknown	No Log					65	598						
2007-01-03		Run	Easy	16.00	Kilometer	0:0:00	65.0	kg												Arthur's seat loops	Asphalt		Unknown	No Log												
2007-01-04		Run	Easy	5.00	Kilometer	0:0:00	65.0	kg												Arthur's seat loops	Asphalt		Unknown	No Log												
2007-01-07		Run	Easy	10.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-01-09		Run	Easy	10.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-01-11		Run	Easy	10.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-01-12		Run	Easy	6.00	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-01-14		Run	Easy	12.00	Kilometer	0:0:00	65.0	kg											Missed race (sat)	Arthur's seat loops	Asphalt		Unknown	No Log												
2007-01-16		Run	Easy	10.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-01-20		Run	Easy	15.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-01-22		Run	Easy	5.50	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-01-23		Run	Easy	10.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-01-24		Run	Easy	4.50	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-01-26		Run	Easy	8.00	Kilometer	0:0:00	65.0	kg											only wol-rr and back, torchlight.	Canal/wol			Unknown	No Log												
2007-01-28		Run	Long	16.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-01-30		Run	Easy	5.50	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-02-01		Run	Easy	8.00	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-02-02		Run	Easy	7.00	Kilometer	0:0:00	65.0	kg												liz-h	Asphalt		Unknown	No Log												
2007-02-03		Run	Easy	7.00	Kilometer	0:0:00	65.0	kg												liz-h	Asphalt		Unknown	No Log												
2007-02-04		Run	Long	18.50	Kilometer	0:0:00	65.0	kg												Canal/wol-currie			Unknown	No Log												
2007-02-06		Run	Easy	5.50	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-02-07		Run	Easy	10.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-02-09		Run	Easy	4.50	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-02-10		Run	Easy	10.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-02-11		Run	Long	14.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-02-13		Run	Easy	5.50	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-02-14		Run	Easy	10.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-02-15		Run	Easy	5.50	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-02-17		Run	Easy	10.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-02-18		Run	Long	21.50	Kilometer	0:0:00	65.0	kg											Actually 19/02	Canal	Asphalt		Unknown	No Log												
2007-02-18		Run	Easy	1.50	Kilometer	0:0:00	65.0	kg											Actually 19/02	warmup etc.			Unknown	No Log												
2007-02-20		Run	Easy	4.50	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-02-21		Run	Easy	11.00	Kilometer	0:0:00	65.0	kg											Diversion	Canal/wol			Unknown	No Log												
2007-02-22		Run	Easy	5.50	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-02-24		Run	Race	5.00	Mile	0:31:22	65.0	kg												KB5	Asphalt		Unknown	No Log					69	218						
2007-02-25		Run	Long	24.00	Kilometer	0:0:00	65.0	kg											North Queensferry - Kinghorn.	Fife Coastal path	Asphalt,Track,Trail		Unknown	No Log												
2007-02-27		Run	Easy	5.50	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-03-01		Run	Easy	11.00	Kilometer	0:0:00	66.0	kg											Forestry diversion	Canal/wol			Unknown	No Log												
2007-03-02		Run	Easy	5.50	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-03-03		Run	Easy	10.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-03-04		Run	Long	16.00	Kilometer	0:0:00	65.0	kg												Canal/wol			Unknown	No Log												
2007-03-05		Bike	Easy	40.00	Kilometer	3:00:00	66.0	kg											Broxburn-1M																	
2007-03-06		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-03-07		Run	Easy	14.00	Kilometer	0:0:00	66.0	kg												Canal/wol			Unknown	No Log												
2007-03-08		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-03-10		Run	Easy	14.00	Kilometer	0:0:00	66.0	kg												Canal/wol			Unknown	No Log												
2007-03-11		Run	Long	27.00	Kilometer	0:0:00	66.0	kg												Queensferry-leith-haymarket	Asphalt,Track		Unknown	No Log												
2007-03-13		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-03-14		Run	Easy	14.00	Kilometer	0:0:00	66.0	kg												Canal/wol			Unknown	No Log												
2007-03-15		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-03-17		Run	Easy	14.00	Kilometer	0:0:00	66.0	kg												Leith - Preston Pans	Asphalt		Unknown	No Log												
2007-03-18		Run	Long	26.00	Kilometer	0:0:00	66.0	kg												Preston Pans- N. Berwick	Asphalt,Trail		Unknown	No Log												
2007-03-27		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-03-29		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-03-30		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-04-01		Run	Race	13.10	Mile	1:25:34	65.0	kg												Forthside 1/2M	Asphalt	Edinburgh Forthside 1/2 Marathon	Unknown	No Log					102	2756						
2007-04-03		Run	Easy	4.50	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-04-05		Bike	Easy	20.00	Kilometer	0:0:00	66.0	kg											Pentlands.																	
2007-04-07		Bike	Easy	70.00	Kilometer	0:0:00	66.0	kg											Falkirk.																	
2007-04-10		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-04-11		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-04-12		Run	Easy	8.50	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-04-15		Run	Long	23.00	Kilometer	2:05:00	66.0	kg												Canal/wol - balerno			Unknown	No Log												
2007-04-17		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-04-18		Run	Easy	16.50	Kilometer	1:38:20	66.0	kg											2*ccw+hill loop	braids	Asphalt,Trail		Unknown	No Log												
2007-04-19		Run	Easy	8.50	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-04-22		Run	Long	32.00	Kilometer	2:51:40	66.0	kg											Twice from wol vc to balerno	Canal/wol - balerno			Unknown	No Log												
2007-04-24		Run	Easy	8.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-04-29		Run	Easy	8.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-05-01		Run	Easy	8.50	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-05-02		Run	Easy	16.00	Kilometer	0:0:00	66.0	kg											rr+1 out/back over clk hill	Canal/wol			Unknown	No Log												
2007-05-03		Run	Easy	8.50	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-05-06		Run	Long	32.00	Kilometer	0:0:00	66.0	kg											usual balerno + wol-rr+1	Canal/wol - balerno			Unknown	No Log												
2007-05-08		Run	Easy	8.00	Kilometer	0:0:00	66.0	kg											short+2*cw+long	braids	Asphalt,Trail		Unknown	No Log												
2007-05-09		Run	Easy	11.50	Kilometer	0:0:00	66.0	kg											l+cw+ccw+mid+l	braids	Asphalt,Trail		Unknown	No Log												
2007-05-12		Run	Easy	8.00	Kilometer	0:0:00	66.0	kg											s+cw+ccw+l	braids	Asphalt,Trail		Unknown	No Log												
2007-05-13		Run	Long	18.50	Kilometer	0:0:00	66.0	kg												Canal/wol-currie			Unknown	No Log												
2007-05-15		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+cw+ccw+s	braids	Asphalt,Trail		Unknown	No Log												
2007-05-17		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+cw+ccw+s	braids	Asphalt,Trail		Unknown	No Log												
2007-05-27		Run	Race	26.20	Mile	3:26:35	65.0	kg												Edinburgh Marathon	Asphalt		Unknown	No Log					474	3559						
2007-06-04		Weights	0				66.0	kg																												
2007-06-05		Run	Easy	5.50	Kilometer	0:0:00	66.0	kg											s+ccw+l	braids	Asphalt,Trail		Unknown	No Log												
2007-06-06		Weights	0				66.0	kg																												
2007-06-06		Run	Easy	6.00	Kilometer	0:0:00	66.0	kg											s+cw+s+gym	braids	Asphalt,Trail		Unknown	No Log												
2007-06-10		Run	Easy	6.50	Kilometer	0:0:00	66.0	kg												Auchterarder			Unknown	No Log												
2007-06-12		Weights	0				66.0	kg																												
2007-06-13		Run	Race	5.00	Kilometer	0:20:01	65.0	kg												Silverknowes 5km	Asphalt		Unknown	No Log					33	119						
2007-06-13		Run	Easy	1.00	Kilometer	0:0:00	66.0	kg												warmup etc.			Unknown	No Log												
2007-06-14		Weights	0				66.0	kg																												
2007-06-14		Run	Easy	8.50	Kilometer	0:0:00	66.0	kg											s+cw+m+s+gym	braids	Asphalt,Trail		Unknown	No Log												
2007-06-14		Row	Default	2000.00	Meter	0:0:00	66.0	kg																												
2007-06-16		Run	Easy	10.00	Kilometer	0:0:00	66.0	kg												Canal/wol			Unknown	No Log												
2007-06-16		Row	Default	2000.00	Meter	0:0:00	66.0	kg																												
2007-06-16		Weights	0				66.0	kg																												
2007-06-18		Run	Easy	8.50	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-06-22		Run	Easy	10.00	Kilometer	0:0:00	66.0	kg												Canal/wol			Unknown	No Log												
2007-06-23		Run	Easy	4.50	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-06-25		Run	Easy	11.50	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-06-29		Run	Easy	0.50	Mile	0:0:00	66.0	kg												warmup etc.			Unknown	No Log												
2007-06-29		Run	Race	4.50	Mile	0:31:22	66.0	kg												Black Rock 5	Asphalt,Trail		Unknown	No Log					161	698						
